title,price,rating,num_reviews
,,4.5 out of 5 stars.,
,,,Check each product page for other buying options.
Lenovo thinkPad X270 Business Laptop | Intel Core i5-6th Gen. CPU | 8GB DDR4 RAM | 256GB SSD | 12.5 inch Non-Touch Display | Windows 10 Pro. | RENEWED,458.00,4.3 out of 5 stars,209
"Lenovo Ideapad 1 15 IGL7 Laptop, Intel Celeron N4020 Processor |4GB DDR4 Ram |256GB NVMe M.2 SSD |Intel UHD Graphics 600 |15.6""HD Display |Windows 11 Home, CLOUD_GREY",729.00,3.8 out of 5 stars,45
"Dell Latitude 5490 / Intel 1.7 GHz Core i5-8350U Quad Core CPU / 16GB RAM / 512GB SSD / 14"" FHD (1920 x 1080) Display/HDMI/USB-C/Webcam/Windows 10 Pro (Renewed)",628.00,3.9 out of 5 stars,512
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Celeron Quad Core Processor, Intel UHD Graphics 600, Mini HDMI, Webcam, 2.4G/5GHz WiFi, 2*USB3.2, Bluetooth4.2, Silver",791.99,4.2 out of 5 stars,| Based on star rating and number of customer ratings
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Celeron Quad Core Processor, Intel UHD Graphics 600, Mini HDMI, Webcam, 2.4G/5GHz WiFi, 2*USB3.2, Bluetooth4.2, Silver",791.99,4.2 out of 5 stars,211
"SGIN Laptop, 17 Inch 8GB RAM 512GB SSD Laptops Computer with Intel Celeron Quad Core Processor, IPS FHD Display, Webcam, Dual Wi-Fi, 8000Amh Battery Life, Mini HDMI, USB, Gray","1,211.99",4.2 out of 5 stars,121
"2018 Acer 14' FHD IPS Display Premium Flagship Business Chromebook-Intel Celeron Quad-Core Processor Up to 2.24Ghz, 4GB RAM, 32GB SSD, HDMI, WiFi, Bluetooth Chrome OS-(Renewed)",229.99,4.1 out of 5 stars,299
"HP Elitebook 840 G3 Laptop Intel i7-6600U 2.6GHz, 16GB RAM, 512GB SSD, Windows 10 Pro (Renewed)",845.99,4.0 out of 5 stars,918
"Acer Newest 14inch Flagship Chromebook, Intel Quad-Core Atom E8000 Up to 2.00GHz Processor, 4GB RAM,32GB SSD, WiFi, HDMI, Chrome OS-(Renewed) (Silver/Atom)",219.99,4.2 out of 5 stars,186
,,,
"HP 640 G1 14-inch ProBook Notebook - Intel Core i5 Processor, 8GB RAM, 256GB SSD, WiFi, Windows 10 Professional 64 Bit (Renewed)",396.99,3.5 out of 5 stars,34
"2021 Dell Latitude 7420 Laptop 14"" - Intel Core i5 11th Gen - i5-1145G7 - Quad Core 4.4Ghz - 512GB SSD - 16GB RAM - 1920x1080 FHD Touchscreen - Windows 10 Pro (Renewed)","1,199.00",,
Dell Chromebook 3180 Renewed Business Laptop | Intel Celeron N3060 Dual Core CPU | 4GB DDR3 RAM | 16GB SATA HDD |11.6 inch Display | CHROME OS | 15 Days of IT-Sizer Golden Warranty (Renewed),97.99,3.5 out of 5 stars,10
Lenovo ThinkPad T440 Laptop PC 14inch i5-4300U 8GB 256GB SSD WiFi WebCam USB 3.0 Windows 10 Professional 64-bit Renewed,375.00,3.9 out of 5 stars,678
"HP EliteBook 840 G4 14"" HD Laptop, Core i5-7300U 2.6GHz, 16GB RAM, 512GB unidad de estado sólido, Windows 10 Pro 64Bit, Webcam (Enewed) (Renewed)",640.00,3.5 out of 5 stars,626
HP Elitebook 840 G5 Laptop Intel Core i7 1.80 GHz 16Gb Ram 512GB SSD Windows 10 Pro-64 (Renewed),972.00,3.7 out of 5 stars,584
HP EliteBook 840 G3 Renewed Business Laptop | intel Core i7-6th Generation CPU | 16GB RAM | 512GB SSD | 14 inch Non-Touch Display | Windows 10 Pro | RENEWED,608.00,3.3 out of 5 stars,147
"V2COM S2 Triple Laptop Screen Extender+H5-T Cable-14.2'' Triple Monitor for Laptop,1080P HD, Plug & Play, Built-in Speaker, Monitor for 13-17'' Laptops Compatible for Windows, Mac OS of All Chips","1,099.00",,
,,,
Dell Portátil Latitude 5400 de 14 pulgadas Intel Core i5-8365U 256GB PCIe SSD 16GB RAM Full HD (1920X1080) HD Webcam Win 10 Pro (reacondicionamiento certificado) (Renewed),608.00,3.7 out of 5 stars,183
"Lenovo 2024 Newest Ideapad Laptop, 15.6 inch FHD Display, 10 Core Intel Core i5-1235U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Wi-Fi 6, Windows 11 Home,ARCTIC GRAY","1,799.00",3.8 out of 5 stars,4
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Celeron Quad Core Processor, Intel UHD Graphics 600, Mini HDMI, Webcam, 2.4G/5GHz WiFi, 2*USB3.2, Bluetooth4.2, Silver",791.99,4.2 out of 5 stars,211
"Lenovo (Renewed) T440 ThinkPad Laptop (Intel Core i5-4th Gen,8GB DDR3L RAM,256GB Ssd Hard,14.1in Display, Win 10 Pro)",340.00,3.0 out of 5 stars,74
